State Name,state code,alpha code,Restaurants Per Capita,Number of Fast Food Restaurants ,Population (2019)
Alabama,1,AL,6.3,4442,4903185
Alaska,2,AK,2.6,411,731545
Arizona,4,AZ,4.6,4388,7278717
Arkansas,5,AR,4.7,2364,3017825
California,6,CA,3.6,31473,39512223
Colorado,8,CO,4,4371,5758736
Connecticut,9,CT,2.4,2616,3565287
Delaware,10,DE,4.1,785,973764
Florida,12,FL,3.3,15073,21477737
Georgia,13,GA,4.9,8749,10617423
Hawaii,15,HI,3.2,1444,1415872
Idaho,16,ID,3.8,1244,1787065
Illinois,17,IL,4.5,9515,12671821
Indiana,18,IN,5,5010,6732219
Iowa,19,IA,4.7,2189,3155070
Kansas,20,KS,4.7,2107,2913314
Kentucky,21,KY,4.8,3437,4467673
Louisiana,22,LA,4.4,3922,4648794
Maine,23,ME,3.1,948,1344212
Maryland,24,MD,3.9,5382,6045680
Massachusetts,25,MA,3.1,5222,6949503
Michigan,26,MI,4,6228,9986857
Minnesota,27,MN,3.7,3937,5639632
Mississippi,28,MS,2.1,2446,2976149
Missouri,29,MO,4.9,4497,6137428
Montana,30,MT,3.8,775,1068778
Nebraska,31,NE,5.4,1464,1934408
Nevada,32,NV,4.7,2645,3080156
New Hampshire,33,NH,3.2,1083,1359711
New Jersey,34,NJ,2,6755,8882190
New Mexico,35,NM,4.3,1445,2096829
New York,36,NY,2.1,17178,19453561
North Carolina,37,NC,4.5,7824,10488084
North Dakota,38,ND,3.6,497,762062
Ohio,39,OH,4.7,9807,11689100
Oklahoma,40,OK,5.3,2802,3956971
Oregon,41,OR,3.6,3185,4217737
Pennsylvania,42,PA,3.2,9772,12801989
Rhode Island,44,RI,2.5,906,1059361
South Carolina,45,SC,4.9,3800,5148714
South Dakota,46,SD,4.3,614,884659
Tennessee,47,TN,5.2,5329,6833174
Texas,48,TX,4.3,20219,28995881
Utah,49,UT,3.6,2534,3205958
Vermont,50,VT,1.9,380,623989
Virginia,51,VA,4.3,6757,8535519
Washington,53,WA,3.1,4844,7614893
West Virginia,54,WV,5.3,1408,1792147
Wisconsin,55,WI,4,3650,5822434
Wyoming,56,WY,4.1,368,578759
District of Columbia,,,5,832,705749
