State,State Code,alpha code,total gyms,per 100K residents (%),prevalance of inactivity,meets cdc requirement (%),adolescents physically active (%),Obesity,Latitude,Longitude
Alabama,1.0,AL,385.0,7.9,31.0,17.6,23.2,36.2,32.601011199999995,-86.6807365
Alaska,2.0,AK,90.0,12.2,20.3,25.6,17.9,29.5,61.3025006,-158.7750198
Arizona,4.0,AZ,318.0,4.5,23.7,25.5,22.0,29.5,34.1682185,-111.930907
Arkansas,5.0,AR,134.0,4.4,32.5,19.3,22.7,37.1,34.7519275,-92.13137840000002
California,6.0,CA,3365.0,8.5,20.4,22.6,20.5,25.8,37.2718745,-119.2704153
Colorado,8.0,CO,551.0,9.7,17.3,27.4,25.4,22.9,38.9979339,-105.55056699999999
Connecticut,9.0,CT,575.0,16.0,22.7,26.1,23.2,27.4,41.518783500000005,-72.75750699999999
Delaware,10.0,DE,142.0,14.6,28.4,23.8,,33.5,39.145251,-75.41892059999999
Florida,12.0,FL,2463.0,11.6,28.0,27.0,22.7,30.7,27.9757279,-83.8330166
Georgia,13.0,GA,115.0,9.6,28.5,24.1,24.0,32.5,32.6781248,-83.22297569999999
Hawaii,15.0,HI,87.0,6.1,21.6,24.8,17.1,24.9,20.46,-157.505
Idaho,16.0,ID,166.0,9.5,21.5,21.7,22.2,28.4,45.4945756,-114.1424303
Illinois,17.0,IL,211.0,15.7,24.3,23.4,26.0,31.8,39.739318,-89.504139
Indiana,18.0,IN,726.0,10.8,28.3,21.1,,34.1,39.7662195,-86.441277
Iowa,19.0,IA,397.0,12.6,24.2,20.0,25.7,35.3,41.9383166,-93.389798
Kansas,20.0,KS,298.0,10.2,25.0,20.8,26.5,34.4,38.4987789,-98.32007790000002
Kentucky,21.0,KY,421.0,9.4,32.2,15.3,19.0,36.6,37.8222935,-85.76823990000001
Louisiana,22.0,LA,418.0,8.9,30.9,19.7,21.0,36.8,30.9733766,-91.42990970000001
Maine,23.0,ME,199.0,14.8,23.2,20.2,20.4,30.4,45.2185133,-69.0148656
Maryland,24.0,MD,961.0,15.8,23.9,24.0,19.4,30.9,38.806352399999994,-77.2684162
Massachusetts,25.0,MA,1487.0,21.6,23.3,22.2,21.7,25.7,42.062939799999995,-71.718067
Michigan,26.0,MI,1362.0,13.6,25.1,23.3,21.8,33.0,44.9435598,-86.41580490000001
Minnesota,27.0,MN,127.0,18.2,21.2,25.5,,30.1,46.4418595,-93.3655146
Mississippi,28.0,MS,285.0,9.6,33.0,15.7,23.4,39.5,32.5851062,-89.8772196
Missouri,29.0,MO,720.0,11.7,26.8,17.1,25.3,35.0,38.3046615,-92.437099
Montana,30.0,MT,145.0,13.6,22.5,28.3,25.3,26.9,46.6797995,-110.04478300000001
Nebraska,31.0,NE,157.0,8.1,24.2,20.9,27.9,34.1,41.5008195,-99.680902
Nevada,32.0,NV,223.0,7.3,25.6,20.0,21.7,29.5,38.502032,-117.0230604
New Hampshire,33.0,NH,240.0,17.8,21.8,26.4,22.5,29.6,44.00123060000001,-71.57992309999999
New Jersey,34.0,NJ,1454.0,16.1,28.7,,22.7,25.6,40.1430058,-74.7311156
New Mexico,35.0,NM,142.0,6.8,22.3,25.7,26.8,32.3,34.1662325,-106.02606850000001
New York,36.0,NY,2759.0,13.9,26.6,24.1,19.2,27.6,40.7056258,-73.97968
North Carolina,37.0,NC,260.0,19.8,24.7,21.6,19.9,33.0,35.2145629,-79.8912675
North Dakota,38.0,ND,91.0,12.0,24.6,20.1,25.2,35.1,47.467881899999995,-100.3022655
Ohio,39.0,OH,1322.0,11.3,27.0,20.9,23.5,34.0,40.1903624,-82.6692525
Oklahoma,40.0,OK,283.0,7.2,30.2,15.6,29.2,34.8,35.309765399999996,-98.71655849999999
Oregon,41.0,OR,530.0,12.6,19.2,24.9,,29.9,44.1419049,-120.5380993
Pennsylvania,42.0,PA,1568.0,12.2,24.8,21.8,25.4,30.9,40.99459279999999,-77.6046984
Rhode Island,44.0,RI,219.0,20.6,25.9,24.1,21.1,27.7,41.5827282,-71.5064508
South Carolina,45.0,SC,509.0,10.0,27.2,23.0,19.5,34.3,33.62505,-80.9470381
South Dakota,46.0,SD,133.0,15.2,22.3,21.8,29.7,30.1,44.2126995,-100.24716409999999
Tennessee,47.0,TN,655.0,9.7,30.0,21.8,21.6,34.4,35.830521000000005,-85.97859890000001
Texas,48.0,TX,1576.0,5.5,27.9,24.3,22.9,34.8,31.1693363,-100.0768425
Utah,49.0,UT,219.0,6.9,18.6,24.9,21.0,27.7,39.4997605,-111.547028
Vermont,50.0,VT,146.0,23.4,20.5,28.5,22.1,27.5,43.8717545,-72.4477828
Virginia,51.0,VA,1140.0,13.4,24.0,22.7,22.0,30.3,38.0033855,-79.4587861
Washington,53.0,WA,1002.0,34.2,18.3,25.9,,28.7,38.899348700000004,-77.0145665
West Virginia,54.0,WV,137.0,7.6,29.8,17.1,26.3,39.5,38.920170500000005,-80.1816905
Wisconsin,55.0,WI,872.0,15.0,21.4,24.7,21.5,32.0,44.7862968,-89.82670490000001
Wyoming,56.0,WY,55.0,9.6,24.1,24.5,,29.0,43.000325,-107.5545669
